Identifiant;Marque;Nom;Latitude;Longitude
73700001;Système U;SODIBAL SAS;45.62329;6.77967
74550001;Elan;AGD DEREMBLE;46.3038599879;6.43658171728
71400006;Avia;Station Avia Neucheze;46.9565905809;4.2870085408
74270001;Carrefour Contact;Carrefour Contact;46.0179720866;5.92404249154
74570003;Elan;THORENS AUTOMOBILE;45.99738;6.23997
75015007;Avia;SOCARDI SARL;48.84762;2.30336
75015018;BP;BP PARIS PORTE VERSAILLES 8 à Huit;48.83344;2.28592
75015020;Total;TOTAL RELAIS MONTPARNASSE;48.84023;2.32165
76350001;Système U;SUPER U;49.34583;1.09642
74270003;Elan;GARAGE GLANDUT;46.0197;5.93893
74300004;Intermarché;INTERMARCHE THYEZ;46.08617;6.52416
75019002;Total;RELAIS PARIS MANIN;48.88384;2.38977
76190001;Total;SARL SYLDA;49.62369;0.77917
76210003;Esso;ESSO BOLLEVILLE;49.61386;0.5463
76300004;Carrefour Market;Carrefour Market;49.41148;1.08621
76000007;Esso Express;ESSO DU MIN;49.44952;1.0493
76600011;Esso Express;ESSO W.CHURCHILL;49.49374;0.13718
76620002;Carrefour Market;Carrefour Market;49.50563;0.10145
77520001;Casino;CASINO DONNEMARIE DONTILLY;48.47701;3.13957
76300002;Avia;SARL ALBIK;49.41643;1.10767
76330001;Esso Express;ESSO N D GRAVENCHON;49.48839;0.5661
76770002;Leclerc;E. LECLERC Le Houlme;49.5140706915;1.03729663689
77260001;BP;BP A4 AIRE D'USSY SUR MARNE;48.97018;3.06256
78711002;SOS PETRO;SOS PETRO;48.9776422529;1.71361500893
77250004;Carrefour Market;CSF FRANCE STATION SERVICE;48.36797;2.82794
77350004;Intermarché;Intermarché;48.5397990412;2.61159622791
78240001;Total;RELAIS DE CHAMBOURCY;48.90722;2.04571
77940001;Intermarché;ECOMARCHE;48.2808811272;2.96032371052
78150007;Indépendant sans enseigne;Sarl sodical;48.81865;2.11953
78200011;Esso;Garage des Mongazons;48.97104;1.68579
78540001;Carrefour Market;Carrefour Market;48.97561;1.99535
79160002;Leclerc;SODIPLEC Niort Canepetière;46.43043;-0.50163
79160003;Leclerc;SODIPLEC Niort Chateaudrie;46.42905;-0.50681
80700004;Intermarché;INTERMARCHE;49.7084083502;2.77543806036
81000004;Indépendant sans enseigne;AUTO 81 SARL;43.91954;2.13176
78180009;Total Access;TOTAL ACCESS PORTE SUD;;
81160001;Carrefour Market;Carrefour Market;43.9503922196;2.20999332738
82240001;Indépendant sans enseigne;SARL GERAUD TAMPIER;44.17787;1.62304
79500005;Intermarché;INTERMARCHE ST LEGER SUR MELLE;46.22407;-0.13018
80420001;Indépendant sans enseigne;LEADER PRICE  FLIXECOURT;50.01404;2.08043
81000003;Total;STATION TOTAL BRUZZECHESSE;43.93807;2.18317
81120002;Intermarché;INTERMARCHE REALMONT;43.77115;2.18349
82410001;Carrefour Contact;Carrefour Contact;44.0484865263;1.46372975978
83550001;Agip;AGIP VIDAUBAN A8 AIX VERS NICE;43.41424;6.45226
83600010;Avia;Station service gallieni Avia;43.42938;6.7612
83600012;Casino;CASINO SUPERMARCHE;43.4313088421;6.7545892972
83830002;Indépendant sans enseigne;GARAGE PITTALIS;43.5540783182;6.52434933103
84100007;Total;RELAIS DE LA COMTADINE;44.13559;4.81309
81370002;Elan;GOMEZ SOCIETE NOUVELLE;43.76664;1.69252
83240006;Avia;Avia express;43.1844966461;6.54258139572
83390002;Casino;CASINO SUPERMARCHE;43.23672;6.07375
83600013;Leclerc;SODIPLEC ESTEREL;43.5449204222;6.78887161199
84100004;Intermarché;INTERMARCHE ORANGE;44.1526345539;4.8033312547
86011002;Géant;Géant Casino;46.57527;0.36704
83600017;Total Access;TOTAL ACESS;43.4273903848;6.74477142347
85130003;Intermarché;PROXI SUPER;46.94013;-1.0684
85310002;Elan;GUERINEAU;46.5821;-1.37539
86170002;Système U;Super U NEUVILLE DE POITOU;46.68459;0.2532
86550001;Carrefour Contact;CARREFOUR CONTACT;46.5400788102;0.402960383138
87220001;Système U;Super U FEYTIAT;45.81244;1.32188
87290001;Intermarché Contact;SAS PONSAISE;46.13635;1.2668
86190001;Système U;Super U VOUILLE;46.64242;0.17175
87600001;Total;MR MOUNIER;45.82066;0.82571
88140001;Total;RELAIS DU VAIR;48.1877614993;5.89355120111
88340002;Avia;Avia;;
89130002;Intermarché;INTERMARCHE TOUCY;47.7217607339;3.31312771295
91100001;Total Access;RELAIS TOTAL ACCESS CORBEIL ESSONNES;48.60757;2.44925
86500001;Système U;Super U Coop Atlantique Montmorillon;46.4307;0.88374
87270004;Esso Express;ESSO EXPRESS COUZEIX;45.86703;1.23821
88250002;Système U;SUPERMARCHE SUPER U - S.A. SYVI;48.00647;6.87886
89000002;Atac;ATAC AUXERRE;47.79242;3.5803
91100004;Total Access;EOR CORBEIL FERAY;48.61078;2.45194
91160006;BP;BP BALLAINVILLIERS;48.67883;2.28329
92000001;Total Access;RELAIS TOTAL ACCESS;48.8879706;2.18965697632
91430001;BP;BP IGNY OUEST;48.74525;2.22104
91940001;Total Access;RELAIS TOTAL ACCESS LES ULIS (1)COUR;48.67808;2.19873
92000008;Total;RELAIS GOULVENTS;48.8884947491;2.19358
